CountyId	Name	OfficeName	PhysicalAddr1	PhysicalAddr2	PhysicalAddrCSZ	MapLink	MailingAddr1	MailingAddr2	MailingAddrCSZ	OfficePhoneNum	OfficePhoneNumExt	FaxNum	WebsiteAddr	OfficeHours	DirectorName
73	PERSON	PERSON COUNTY BOARD OF ELECTIONS	331 SOUTH MORGAN STREET		ROXBORO, NC 27573	http://maps.google.com/?q=331+SOUTH+MORGAN+STREET+ROXBORO,+NC+27573	331 SOUTH MORGAN STREET		ROXBORO, NC 27573	336-597-1727		336-598-0300	http://www.personcounty.net/departments-services/departments-a-h/elections	M-F (8:30-5:00)	GLENNA SHERRY B. HARRIS
74	PITT	PITT COUNTY BOARD OF ELECTIONS	1717 WEST 5TH STREET		GREENVILLE, NC 27834	http://maps.google.com/?q=1717+WEST+5TH+STREET+GREENVILLE,+NC+27834	PO BOX 56		GREENVILLE, NC 27835	252-902-3300		252-830-1157	http://www.pittcountync.gov/163/Elections	M-F (8:00-5:00)	DAVID P. DAVIS
75	POLK	POLK COUNTY BOARD OF ELECTIONS	40 COURTHOUSE ST		COLUMBUS, NC 28722	http://maps.google.com/?q=40+COURTHOUSE+ST+COLUMBUS,+NC+28722	PO BOX 253		COLUMBUS, NC 28722	828-894-8181		828-894-3565	http://www.polknc.org/board_of_elections_2.php#.U_tVksVdV1B	8:30A - 5:00P	CLIFFORD J MARR
76	RANDOLPH	RANDOLPH COUNTY BOARD OF ELECTIONS	158 WORTH STREET	SHAW BUILDING	ASHEBORO, NC 27203	http://maps.google.com/?q=158+WORTH+STREET+ASHEBORO,+NC+27203	Same as Physical Address			336-318-6900		336-318-6903	http://www.randolphcountync.gov/Departments/Elections	M-F (8:00-5:00)	MELISSA T. JOHNSON
77	RICHMOND	RICHMOND COUNTY BOARD OF ELECTIONS	221 S. HANCOCK ST		ROCKINGHAM, NC 28379	http://maps.google.com/?q=221+S.+HANCOCK+ST+ROCKINGHAM,+NC+28379	PO BOX 1843		ROCKINGHAM, NC 28380	910-997-8253		910-417-4900	http://www.richmondnc.com/178/Board-of-Elections	M-F (8:00-5:00)	CONNIE H KELLY
78	ROBESON	ROBESON COUNTY BOARD OF ELECTIONS	800 N. WALNUT STREET		LUMBERTON, NC 28358	http://maps.google.com/?q=800+N.+WALNUT+STREET+LUMBERTON,+NC+28358	PO BOX 2159		LUMBERTON, NC 28359	910-671-3080		910-671-3089	https://www.co.robeson.nc.us/robeson-county-board-of-elections	M-F (8:15-5:15)	TINA BLEDSOE (INTERIM)
79	ROCKINGHAM	ROCKINGHAM COUNTY BOARD OF ELECTIONS	240 CHEROKEE CAMP RD.		REIDSVILLE, NC 27320	http://maps.google.com/?q=240+CHEROKEE+CAMP+RD.+REIDSVILLE,+NC+27320	PO BOX 22		WENTWORTH, NC 27375	336-342-8107		336-342-8228	http://www.co.rockingham.nc.us/pView.aspx?id=14836&catid=408	M-F (8:00-5:00)	TINA CARDWELL
80	ROWAN	ROWAN COUNTY BOARD OF ELECTIONS	1935 JAKE ALEXANDER BLVD W	SUITE D10	SALISBURY, NC 28147	http://maps.google.com/?q=1935+JAKE+ALEXANDER+BLVD+W+SALISBURY,+NC+28147	Same as Physical Address			704-216-8140		704-216-8145	http://www.rowancountync.gov/elections	M-F (8:00-5:00)	NANCY S. EVANS
81	RUTHERFORD	RUTHERFORD COUNTY BOARD OF ELECTIONS	298 FAIRGROUND ROAD		SPINDALE, NC 28160	http://maps.google.com/?q=298+FAIRGROUND+ROAD+SPINDALE,+NC+28160	PO BOX 927		RUTHERFORDTON, NC 28139	828-287-6030		828-287-6140	https://www.rutherfordcountync.gov/departments/board_of_elections/	M-F (8:30-5:00)	DEBBIE BEDFORD
82	SAMPSON	SAMPSON COUNTY BOARD OF ELECTIONS	120 COUNTY COMPLEX ROAD	SUITE 110	CLINTON, NC 28328	http://maps.google.com/?q=120+COUNTY+COMPLEX+ROAD+CLINTON,+NC+28328	Same as Physical Address			910-592-5796		910-592-3918	http://www.sampsonnc.com/departments/boe/index.php	M-F (8:00-5:00)	ASHLEY PATE TEW
83	SCOTLAND	SCOTLAND COUNTY BOARD OF ELECTIONS	231 EAST CRONLY ST, SUITE 305		LAURINBURG, NC 28352	http://maps.google.com/?q=231+EAST+CRONLY+ST,+SUITE+305+LAURINBURG,+NC+28352	231 EAST CRONLY ST, SUITE 305		LAURINBURG, NC 28352	910-277-2595		910-277-2928	http://www.scotlandcounty.org/332/Elections	M-F (8:00-5:00)	DELL M. PARKER
84	STANLY	STANLY COUNTY BOARD OF ELECTIONS	1000 N FIRST STREET SUITE 16		ALBEMARLE, NC 28001	http://maps.google.com/?q=1000+N+FIRST+STREET+SUITE+16+ALBEMARLE,+NC+28001	PO BOX 1309		ALBEMARLE, NC 28002	704-986-3647		704-986-3798	http://www.votestanlycounty.com	M-F (8:30-5:00)	KIMBERLY BLACKWELDER
85	STOKES	STOKES COUNTY BOARD OF ELECTIONS	1012 MAIN STREET		DANBURY, NC 27016	http://maps.google.com/?q=1012+MAIN+STREET+DANBURY,+NC+27016	PO BOX 34		DANBURY, NC 27016	336-593-2409		336-593-4022	http://www.co.stokes.nc.us/vote/	M-F (8:30-5:00)	JASON PERRY
86	SURRY	SURRY COUNTY BOARD OF ELECTIONS	915 E. ATKINS STREET		DOBSON, NC 27017	http://maps.google.com/?q=915+E.+ATKINS+STREET+DOBSON,+NC+27017	PO BOX 372		DOBSON, NC 27017	336-401-8225		336-401-8228	http://www.co.surry.nc.us/departments/(a_through_j)/board_of_elections/index.php	M-F (8:15-5:00)	SUSAN JARRELL
87	SWAIN	SWAIN COUNTY BOARD OF ELECTIONS	1422 HWY 19 S.		BRYSON CITY, NC 28713	http://maps.google.com/?q=1422+HWY+19+S.+BRYSON+CITY,+NC+28713	PO BOX 133		BRYSON CITY, NC 28713	828-488-6177		828-488-6463	http://www.swaincountync.gov/Elections/elections-home.html	M-F (8:00-5:00)	JOAN WEEKS
88	TRANSYLVANIA	TRANSYLVANIA COUNTY BOARD OF ELECTIONS	150 SOUTH GASTON STREET	SUITE A	BREVARD, NC 28712	http://maps.google.com/?q=150+SOUTH+GASTON+STREET+BREVARD,+NC+28712	P O BOX 868		BREVARD, NC 28712	828-884-3114		828-884-8682	http://www.transylvaniaelections.org	M-F (8:30 AM-5:00 PM)	JEFF STOREY
89	TYRRELL	TYRRELL COUNTY BOARD OF ELECTIONS	403 MAIN STREET		COLUMBIA, NC 27925	http://maps.google.com/?q=403+MAIN+STREET+COLUMBIA,+NC+27925	PO BOX 449		COLUMBIA, NC 27925	252-796-0775		252-796-5375	http://tyrrellcounty.org	M-W-F (9:00-5:00)	DEBORAH SWAIN
90	UNION	UNION COUNTY BOARD OF ELECTIONS	316-B EAST WINDSOR ST		MONROE, NC 28112	http://maps.google.com/?q=316-B+EAST+WINDSOR+ST+MONROE,+NC+28112	PO BOX 1106		MONROE, NC 28111	704-283-3809		704-282-1083	http://www.unioncountync.gov/elections	M-F (8:00-5:00)	KRISTIN JACUMIN
91	VANCE	VANCE COUNTY BOARD OF ELECTIONS	300 S. GARNETT ST, STE C		HENDERSON, NC 27536	http://maps.google.com/?q=300+S.+GARNETT+ST,+STE+C+HENDERSON,+NC+27536	300 S. GARNETT ST., STE C		HENDERSON, NC 27536	252-492-3730		252-430-7370	http://www.vancecounty.org/departments/board-of-elections/	M-F 8:30 AM - 5:00 PM	FAYE M. GILL
92	WAKE	WAKE COUNTY BOARD OF ELECTIONS	337 S SALISBURY STREET		RALEIGH, NC 27601	http://maps.google.com/?q=337+S+SALISBURY+STREET+RALEIGH,+NC+27601	P O BOX 695		RALEIGH, NC 27602	919-856-6240		919-856-5864	http://www.ReadyToVote.com	M-F (8:30-5:15)	GARY SIMS
93	WARREN	WARREN COUNTY BOARD OF ELECTIONS	309 N MAIN STREET-ANNEX BUILDING		WARRENTON, NC 27589	http://maps.google.com/?q=309+N+MAIN+STREET-ANNEX+BUILDING+WARRENTON,+NC+27589	PO BOX 803		WARRENTON, NC 27589	252-257-2114		252-257-5232	http://www.warrencountync.com/413/Elections-Board	8:30 AM-5:00 PM	DEBBIE S. FORMYDUVAL
94	WASHINGTON	WASHINGTON COUNTY BOARD OF ELECTIONS	116 ADAMS ST		PLYMOUTH, NC 27962	http://maps.google.com/?q=116+ADAMS+ST+PLYMOUTH,+NC+27962	PO BOX 1007		PLYMOUTH, NC 27962	252-793-6017		252-793-5801	https://www.washconc.org/board_of_elections.aspx	M-F (8:30-5:00)	DORA BELL
95	WATAUGA	WATAUGA COUNTY BOARD OF ELECTIONS	842 WEST KING STREET, STE. 6		BOONE, NC 28607	http://maps.google.com/?q=842+WEST+KING+STREET,+STE.+6+BOONE,+NC+28607	PO BOX 528		BOONE, NC 28607	828-265-8061		828-265-8068	http://wataugacounty.org/App_Pages/Dept/BOE/home.aspx	M-F (8:00-5:00)	MATTHEW SNYDER
96	WAYNE	WAYNE COUNTY BOARD OF ELECTIONS	309 E. CHESTNUT ST.		GOLDSBORO, NC 27530	http://maps.google.com/?q=309+E.+CHESTNUT+ST.+GOLDSBORO,+NC+27530	Same as Physical Address			919-731-1411		919-731-1409	http://www.waynevotes.com/	M-F (8:00-5:00)	DANE BEAVERS
97	WILKES	WILKES COUNTY BOARD OF ELECTIONS	110 NORTH STREET, RM 315		WILKESBORO, NC 28697	http://maps.google.com/?q=110+NORTH+STREET,+RM+315+WILKESBORO,+NC+28697	Same as Physical Address			336-651-7339		336-651-7560	https://wilkescounty.net/183/Elections	M-F (8:30-5:00)	KIM CAUDILL
98	WILSON	WILSON COUNTY BOARD OF ELECTIONS	112 DOUGLAS ST. EAST		WILSON, NC 27893	http://maps.google.com/?q=112+DOUGLAS+ST.+EAST+WILSON,+NC+27893	P O BOX 2121		WILSON, NC 27894	252-399-2836		252-399-2838	http://www.wilson-co.com/boardelect.html	M-F (8:00-5:00)	RENA' C. MORRIS
99	YADKIN	YADKIN COUNTY BOARD OF ELECTIONS	213 EAST ELM STREET ROOM 100		YADKINVILLE, NC 27055	http://maps.google.com/?q=213+EAST+ELM+STREET+ROOM+100+YADKINVILLE,+NC+27055	PO BOX 877		YADKINVILLE, NC 27055	336-849-7907		336-849-7927	http://www.yadkincountync.gov/index.aspx?nid=88	M-F (8:00-5:00)	ELAINE BARNES
100	YANCEY	YANCEY COUNTY BOARD OF ELECTIONS	30 EAST US HWY 19E BY-PASS	SUITE 2	BURNSVILLE, NC 28714	http://maps.google.com/?q=30+EAST+US+HWY+19E+BY-PASS+BURNSVILLE,+NC+28714	PO BOX 763		BURNSVILLE, NC 28714	828-682-3950		828-682-2209	http://www.yanceycountync.gov	M-F (8:30-5:00)	MARY BETH TIPTON
