Library System	Branch Name	Library Type	Street Address	City	ZIP Code	County	Website	Phone Number	Director	Branch Head	Building Square Feet	FTE Staff	Hours
Catawba County Library	St. Stephens Branch Library	Public	3225 Springs Rd	Hickory	28601	Catawba	https://www.catawbacountync.gov/county-services/library/	(828) 466-6821	Suzanne White	Debbie Hosford	"9,035"	5.00	Mon: 12 pm-8 pm  Tue: 12 pm-8 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  
Catawba County Library	Claremont Branch Library	Public	3288 E Main St	Claremont	28610	Catawba	https://www.catawbacountync.gov/county-services/library/	(828) 466-6817	Suzanne White	Stephanie Abbott	"2,400"	0.80	Tue: 12 pm-6 pm  Wed: 12 pm-6 pm  Thu: 12 pm-6 pm  Fri: 12 pm-6 pm  Sat: 9 am-2 pm
Chapel Hill Public Library	Chapel Hill Public Library	Public	100 Library Dr	Chapel Hill	27514	Orange	https://chapelhillpubliclibrary.org/	(919) 968-2777	Susan Brown	Susan Brown	"63,305"	34.28	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 10 am-6 pm Sun: 10 am-6 pm
Charlotte Mecklenburg Library	Beatties Ford Road Regional Library	Public	2412 Beatties Ford Rd	Charlotte	28216	Mecklenburg	https://www.cmlibrary.org/	(704) 416-3000	Dana Eure (Interim)	Alecia Mitchell	"19,400"	21.95	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm  Sun: (Labor Day-Memorial Day) 1 pm-5 pm
Charlotte Mecklenburg Library	Cornelius Branch Library	Public	21105 Catawba Ave	Cornelius	28031	Mecklenburg	https://www.cmlibrary.org/	(704) 416-3800	Dana Eure (Interim)	Ellen Giduz	"5,500"	6.43	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	Davidson Branch Library	Public	119 S Main St	Davidson	28036	Mecklenburg	https://www.cmlibrary.org/	(704) 416-4000	Dana Eure (Interim)	Ellen Giduz	"6,000"	5.43	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	Hickory Grove Branch Library	Public	5935 Hickory Grove Rd	Charlotte	28215	Mecklenburg	https://www.cmlibrary.org/	(704) 416-4400	Dana Eure (Interim)	Debra Sharp	"16,000"	12.43	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	Imaginon: The Joe & Joan Martin Center	Public	300 E 7th St	Charlotte	28202	Mecklenburg	https://www.cmlibrary.org/	(704) 416-4600	Dana Eure (Interim)	Angela Craig	"102,000"	27.63	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm  Sun: (Labor Day-Memorial Day) 1 pm-5 pm
Charlotte Mecklenburg Library	Independence Regional Library	Public	6015 Conference Dr	Charlotte	28212	Mecklenburg	https://www.cmlibrary.org/	(704) 416-4800	Dana Eure (Interim)	Kevin Bittle	"18,670"	22.23	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm  Sun: (Labor Day-Memorial Day) 1 pm-5 pm
Charlotte Mecklenburg Library	Charlotte Mecklenburg Library (Main)	Public	310 N Tryon St	Charlotte	28202	Mecklenburg	https://www.cmlibrary.org/	(704) 416-0600	Dana Eure (Interim)	Angela Craig	"156,000"	100.80	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm  Sun: (Labor Day-Memorial Day) 1 pm-5 pm
Charlotte Mecklenburg Library	Matthews Branch Library	Public	230 Matthews Station St	Matthews	28105	Mecklenburg	https://www.cmlibrary.org/	(704) 416-5000	Dana Eure (Interim)	Julia Smith	"15,000"	18.43	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	Mint Hill Branch Library	Public	6840 Matthews-Mint Hill Rd	Charlotte	28227	Mecklenburg	https://www.cmlibrary.org/	(704) 416-5200	Dana Eure (Interim)	Jesse Isley	"12,000"	15.05	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	Morrison Regional Library	Public	7015 Morrison Blvd	Charlotte	28211	Mecklenburg	https://www.cmlibrary.org/	(704) 416-5400	Dana Eure (Interim)	Susan Green	"24,000"	24.45	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm  Sun: (Labor Day-Memorial Day) 1 pm-5 pm
Charlotte Mecklenburg Library	Mountain Island Branch Library	Public	4420 Hoyt Galvin Wy	Charlotte	28214	Mecklenburg	https://www.cmlibrary.org/	(704) 416-5600	Dana Eure (Interim)	Catherine Haydon	"16,000"	13.10	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	Myers Park Branch Library	Public	1361 Queens Rd	Charlotte	28207	Mecklenburg	https://www.cmlibrary.org/	(704) 416-5800	Dana Eure (Interim)	Trilby Meeks	"3,969"	6.10	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	North County Regional Library	Public	16500 Holly Crest Ln	Huntersville	28078	Mecklenburg	https://www.cmlibrary.org/	(704) 416-6000	Dana Eure (Interim)	Jo Ann Rodgers	"23,728"	22.48	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm  Sun: (Labor Day-Memorial Day) 1 pm-5 pm
Charlotte Mecklenburg Library	Plaza Midwood Branch Library	Public	1623 Central Ave	Charlotte	28205	Mecklenburg	https://www.cmlibrary.org/	(704) 416-6200	Dana Eure (Interim)	Mark Engelbrecht	"8,000"	7.58	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	Scaleybark Branch Library	Public	101 Scaleybark Rd	Charlotte	28209	Mecklenburg	https://www.cmlibrary.org/	(704) 416-6400	Dana Eure (Interim)	Beatriz Guevara	"5,450"	8.05	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	South County Regional Library	Public	5801 Rea Rd	Charlotte	28277	Mecklenburg	https://www.cmlibrary.org/	(704) 416-6600	Dana Eure (Interim)	Laura Highfill	"34,000"	33.65	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm  Sun: (Labor Day-Memorial Day) 1 pm-5 pm
Charlotte Mecklenburg Library	Steele Creek Branch Library	Public	13620 Steele Creek Rd	Charlotte	28273	Mecklenburg	https://www.cmlibrary.org/	(704) 416-6800	Dana Eure (Interim)	Rhonda Pinkney	"14,910"	15.43	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	Sugar Creek Branch Library	Public	4045 N Tryon St	Charlotte	28206	Mecklenburg	https://www.cmlibrary.org/	(704) 416-7000	Dana Eure (Interim)	Anne Masters	"9,300"	12.40	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Charlotte Mecklenburg Library	University City Regional Library	Public	301 E W T Harris Rd	Charlotte	28262	Mecklenburg	https://www.cmlibrary.org/	(704) 416-7200	Dana Eure (Interim)	Jonita Edmonds	"24,000"	30.85	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm  Sun: (Labor Day-Memorial Day) 1 pm-5 pm
Charlotte Mecklenburg Library	West Boulevard Branch Library	Public	2157 West Blvd	Charlotte	28208	Mecklenburg	https://www.cmlibrary.org/	(704) 416-7400	Dana Eure (Interim)	LaJuan Pringle	"12,500"	11.95	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Chatham County Public Libraries	Goldston Public Library	Public	9235 Pittsboro-Goldston Rd	Goldston	27252	Chatham	http://www.chathamnc.org/government/departments-programs/library	(919) 898-4522	Linda Clarke	Sharon Brewer	"3,300"	1.00	Mon: 10 am-1 pm; 2 pm-6 pm  Wed: 10 am-1 pm; 2 pm-6 pm  Thu: 10 am-1 pm; 2 pm-8 pm  Fri: 10 am-1 pm; 2 pm-5 pm  Sat: 9 am-1 pm
Chatham County Public Libraries	Chatham Community Library (Main)	Public	197 NC Hwy 87 N	Pittsboro	27312	Chatham	http://www.chathamnc.org/government/departments-programs/library	(919) 545-8084	Linda Clarke	Rita Van Duinen	"25,000"	8.00	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm
Chatham County Public Libraries	Wren Memorial Library	Public	500 N 2nd Ave	Siler City	27344	Chatham	http://www.chathamnc.org/government/departments-programs/library	(919) 742-2016	Linda Clarke	Mike Cowell	"6,700"	2.75	Mon: 12 pm-8 pm  Tue: 10 am-6 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 9 am-5 pm
Cleveland County Library System	Cleveland County Memorial Library (Main)	Public	104 Howie Dr	Shelby	28150	Cleveland	http://ccml.org/ccml/	(704) 487-9069	Carol H. Wilson	Carol H. Wilson	"27,000"	16.75	Mon: 10 am-8 pm  Tue: 10 am-8 pm  Wed: 10 am-8 pm  Thu: 10 am-8 pm  Fri: 10 am-2 pm  Sat: 10 am-2 pm
Cleveland County Library System	Spangler Branch Library	Public	112 Piedmont Dr	Lawndale	28090	Cleveland	http://ccml.org/ccml/	(704) 538-7005	Carol H. Wilson	Deborah Page	"2,000"	1.50	Mon: 2 pm-6 pm  Tue: 2 pm-6 pm  Wed: 2 pm-6 pm  Thu: 9 am-6 pm  Sat: 9 am-1 pm
Columbus County Public Library	Chadbourn Community Library	Public	301 N Wilson St	Chadbourn	28431	Columbus	https://ccplnc.weebly.com/	(910) 654-3322	Morris Pridgen Jr	Shenna Milliken	"3,200"	2.00	Mon: 11 am-5 pm  Tue: 11 am-5 pm  Wed: 11 am-5 pm  Thu: 11 am-5 pm  Fri: 11 am-5 pm
Columbus County Public Library	Columbus County Public Library (Main)	Public	407 N JK Powell Blvd	Whiteville	28472	Columbus	https://ccplnc.weebly.com/	(910) 642-3116	Morris Pridgen Jr	"Morris Pridgen, Jr."	"10,600"	15.00	Mon: 9 am-7:30 pm  Tue: 9 am-7:30 pm  Wed: 9 am-7:30 pm  Thu: 9 am-7;30 pm  Fri: 9 am-5 pm  Sat: 10:30 am-5pm
Columbus County Public Library	Columbus County Public Library Bookmobile	Public	407 N JK Powell Blvd	Whiteville	28472	Columbus	https://ccplnc.weebly.com/	(910) 640-2665	Morris Pridgen Jr	Gale Sellers	180	2.00	Varies
Columbus County Public Library	East Columbus Branch Library	Public	103 Church Rd	Riegelwood	28456	Columbus	https://ccplnc.weebly.com/	(910) 655-4157	Morris Pridgen Jr	Robin Creech	"2,302"	2.00	Mon: 11 am-5 pm  Tue: 11 am-5 pm  Wed: 11 am-5 pm  Thu: 11 am-5 pm  Fri: 11 am-5 pm
Columbus County Public Library	Fair Bluff Community Library	Public	315 Railroad St	Fair Bluff	28439	Columbus	https://ccplnc.weebly.com/	(910) 649-7098	Morris Pridgen Jr	Theresa Fountain	"2,200"	1.50	Mon: 11 am-5 pm  Tue: 11 am-5 pm  Wed: 11 am-5 pm  Thu: 11 am-5 pm  Fri: 11 am-5 pm
Columbus County Public Library	Rube Mccray Memorial Library	Public	301 Fleming Dr	Lake Waccamaw	28450	Columbus	https://ccplnc.weebly.com/	(910) 646-4616	Morris Pridgen Jr	Kim Holmes	"2,992"	2.00	Mon: 11 am-5 pm  Tue: 11 am-5 pm  Wed: 11 am-5 pm  Thu: 11 am-5 pm  Fri: 11 am-5 pm
Columbus County Public Library	Tabor City Public Library	Public	1 E 5th St	Tabor City	28463	Columbus	https://ccplnc.weebly.com/	(910) 653-3774	Morris Pridgen Jr	Judy Powell	"2,992"	2.00	Mon: 11 am-5 pm  Tue: 11 am-5 pm  Wed: 11 am-5 pm  Thu: 11 am-5 pm  Fri: 11 am-5 pm
Craven-Pamlico-Carteret Regional Library	Bogue Banks Public Library	Public	320 Salter Path Rd	Pine Knoll Shores	28512	Carteret	https://cpcrl.org/	(252) 247-4660	Susan W. Simpson	Susan W. Simpson	"3,256"	2.76	Mon: 8:30 am-5 pm  Tue: 8:30 am-5 pm  Wed: 8:30 am-5 pm  Thu: 8:30 am-5 pm  Fri: 8:30 am-5 pm  Sat: 8:30 am-5 pm
Craven-Pamlico-Carteret Regional Library	Carteret County Public Library	Public	1702 Live Oak St. Suite 100	Beaufort	28516	Carteret	https://cpcrl.org/	(252) 728-2050	Susan W. Simpson	Susan W. Simpson	"14,979"	10.64	Mon: 8:30 am-9 pm  Tue: 8:30 am-9 pm  Wed: 8:30 am-9 pm  Thu: 8:30 am-9 pm  Fri: 8:30 am-6 pm  Sat: 8:30 am-5 pm
Craven-Pamlico-Carteret Regional Library	Cove City-Craven County Public Library	Public	102 N Main St	Cove City	28523	Craven	https://cpcrl.org/	(252) 638-6363	Susan W. Simpson	Nancy Chase	"3,400"	1.92	Mon: 2 pm-8 pm  Tue: 2 pm-8 pm  Wed: 2 pm-8 pm  Thu: 2 pm-8 pm  Fri: 2 pm-6 pm
Craven-Pamlico-Carteret Regional Library	Down East Public Library	Public	702 Hwy 70 E Otway	Beaufort	28516	Carteret	https://cpcrl.org/	(252) 728-1333	Susan W. Simpson	Tia Douglass	"2,000"	1.47	Mon: 9 am-6 pm  Wed: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 10 am-2 pm
Craven-Pamlico-Carteret Regional Library	Havelock-Craven County Public	Public	301 Cunningham Blvd	Havelock	28532	Craven	https://cpcrl.org/	(252) 447-7509	Susan W. Simpson	Shannon Sutton	"7,214"	4.90	Mon: 10 am-8 pm  Tue: 10 am-8 pm  Wed: 10 am-8 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-4 pm
Craven-Pamlico-Carteret Regional Library	New Bern-Craven County Public Library	Public	400 Johnson St	New Bern	28560	Craven	https://cpcrl.org/	(252) 638-7800	Susan W. Simpson	Cassandra Hunsucker	"26,200"	28.40	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: (Labor Day-Memorial Day) 2 pm-6 pm
Craven-Pamlico-Carteret Regional Library	Newport Public Library	Public	210 Howard Blvd	Newport	28570	Carteret	https://cpcrl.org/	(252) 223-5108	Susan W. Simpson	Alice Chavez	"4,427"	5.00	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-4 pm
Craven-Pamlico-Carteret Regional Library	Pamlico County Library	Public	603 Main St	Bayboro	28515	Pamlico	https://cpcrl.org/	(252) 745-3515	Susan W. Simpson	Katherine Clowers	"7,370"	4.49	Mon: 12 pm-8 pm  Tue: 12 pm-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Craven-Pamlico-Carteret Regional Library	Vanceboro-Craven County Public Library	Public	7931 Main St	Vanceboro	28586	Craven	https://cpcrl.org/	(252) 244-0571	Susan W. Simpson	Angela Howard	"3,000"	4.02	Mon: 10 am-6 pm  Tue: 2 pm-8 pm  Wed: 10 am-6 pm  Thu: 2 pm-8 pm  Fri: 10 am-6 pm
Craven-Pamlico-Carteret Regional Library	Western Carteret Library	Public	230 Taylor Notion Rd	Cape Carteret	28584	Carteret	https://cpcrl.org/	(252) 393-6500	Susan W. Simpson	Timothy Nolin	"7,845"	6.75	Mon: 8:30 am-6 pm Tue: 8:30 am-8 pm Wed: 8:30 am-6 pm Thu: 8:30 am-8 pm Fri: 8:30 am-6 pm Sat: 8:30 am-5 pm
Cumberland County Public Library & Information Center	Bordeaux Branch Library	Public	3711 Village Dr	Fayetteville	28304	Cumberland	http://www.cumberland.lib.nc.us/ccplsite/	(910) 424-4008	Jody Risacher	Mary Dirisio	"10,000"	11.68	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-6 pm
Cumberland County Public Library & Information Center	Cliffdale Branch Library	Public	6882 Cliffdale Rd	Fayetteville	28314	Cumberland	http://www.cumberland.lib.nc.us/ccplsite/	(910) 864-3800	Jody Risacher	Nadia El Anani	"17,115"	23.80	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm  Sun: 1 pm-6 pm
Cumberland County Public Library & Information Center	Cumberland County Public Library & Information Center (Main)	Public	300 Maiden Ln	Fayetteville	28301	Cumberland	http://www.cumberland.lib.nc.us/ccplsite/	(910) 483-7727	Jody Risacher	Jane Casto	"80,000"	66.58	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm  Sun: 1 pm-6 pm
Cumberland County Public Library & Information Center	East Regional Branch Library	Public	4809 Clinton Rd	Fayetteville	28312	Cumberland	http://www.cumberland.lib.nc.us/ccplsite/	(910) 485-2955	Jody Risacher	Birch Barnes	"21,000"	16.85	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 10 am-6 pm  Sat: 10 am-6 pm
Cumberland County Public Library & Information Center	Hope Mills Branch Library	Public	3411 Golfview Rd	Hope Mills	28348	Cumberland	http://www.cumberland.lib.nc.us/ccplsite/	(910) 425-8455	Jody Risacher	Maryanne Sommer	"11,250"	15.18	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm
Cumberland County Public Library & Information Center	North Regional Branch Library	Public	855 McArthur Rd	Fayetteville	28311	Cumberland	http://www.cumberland.lib.nc.us/ccplsite/	(910) 822-1998	Jody Risacher	Mary Campbell	"24,000"	22.30	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm  Sun: 1 pm-6 pm
Cumberland County Public Library & Information Center	Spring Lake Branch Library	Public	101 Laketree Blvd	Spring Lake	28390	Cumberland	http://www.cumberland.lib.nc.us/ccplsite/	(910) 497-3650	Jody Risacher	Gloria Nelson	"12,000"	11.60	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-7 pm  Sat: 10 am-6 pm
Cumberland County Public Library & Information Center	West Regional Branch Library	Public	7469 Century Cir	Fayetteville	28306	Cumberland	http://www.cumberland.lib.nc.us/ccplsite/	(910) 487-0440	Jody Risacher	Mark Wilson	"14,875"	14.83	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-6 pm
Davidson County Public Library System	Lexington Public Library (Main)	Public	602 S Main St	Lexington	27292	Davidson	https://www.co.davidson.nc.us/274/Library	(336) 242-2040	Ruth Ann Copley	Sheila Killebrew	"20,000"	21.55	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5:30 pm  Sat: 9:30 am-3 pm 
Davidson County Public Library System	Denton Public Library	Public	310 W Salisbury St	Denton	27239	Davidson	https://www.co.davidson.nc.us/274/Library	(336) 859-2215	Ruth Ann Copley	Susan Craven	"11,500"	6.90	Mon: 9 am-8 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-8 pm  Fri: 9 am-5:30 pm  Sat: 10 am-2 pm 
Davidson County Public Library System	Davidson County Bookmobile	Public	602 S Main St	Lexington	27292	Davidson	https://www.co.davidson.nc.us/274/Library	(336) 242-2040	Ruth Ann Copley	Jennifer Ward	"1,530"	1.00	Varies
Davidson County Public Library System	North Davidson Branch Library	Public	559 Critcher Dr	Welcome	27374	Davidson	https://www.co.davidson.nc.us/274/Library	(336) 242-2050	Ruth Ann Copley	Jonathan Farlow	"9,312"	7.29	Mon: 9 am-8 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-8 pm  Fri: 9 am-5:30 pm  Sat: 10 am-2 pm 
Davidson County Public Library System	Thomasville Public Library	Public	14 Randolph St	Thomasville	27360	Davidson	https://www.co.davidson.nc.us/274/Library	(336) 474-2690	Ruth Ann Copley	Sarah Hudson	"19,150"	12.67	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5:30 pm  Sat: 9:30 am-3 pm 
Davidson County Public Library System	West Davidson Public Library	Public	246 Tyro School Rd	Lexington	27295	Davidson	https://www.co.davidson.nc.us/274/Library	(336) 853-4800	Ruth Ann Copley	Sierra Everhart	"7,892"	6.13	Mon: 9 am-8 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-8 pm  Fri: 9 am-5:30 pm  Sat: 10 am-2 pm 
Davie County Public Library	Cooleemee Branch Library	Public	7796 Hwy 801 S	Cooleemee	27014	Davie	https://www.daviecountync.gov/400/Public-Library	(336) 284-2805	Jane Blue	Jane Blue	"2,520"	0.75	Mon: 10 am-5 pm  Tue: 10 am-5 pm  Wed: 10 am-5 pm  Thu: 10 am-5 pm  Fri: 10 am-5 pm
Davie County Public Library	Davie County Public Library (Main)	Public	371 N Main St	Mocksville	27028	Davie	https://www.daviecountync.gov/400/Public-Library	(336) 753-6030	Jane Blue	Jane Blue	"15,600"	9.26	Mon: 9 am-8:30 pm  Tue: 9 am-8:30 pm  Wed: 9 am-8:30 pm  Thu: 9 am-8:30 pm  Fri: 9 am-5:30 pm  Sat: 9 am-3 pm  Sun: 2 pm-5 pm
Duplin County Library	Florence Gallier Library	Public	104 W Main St	Magnolia	28453	Duplin	http://www.youseemore.com/duplin/default.asp	(910) 289-7056	Laura Caudill Jones	Laura Caudill Jones	"1,056"	0.33	Mon: 2 pm-5:45 pm  Thu: 2 pm-5:45 pm  Fri: 2 pm-5:45 pm
Duplin County Library	Dorothy Wightman Library (Main)	Public	107 Bowden Dr	Kenansville	28349	Duplin	http://www.youseemore.com/duplin/default.asp	(910) 296-2117	Laura Caudill Jones	Laura Caudill Jones	"5,616"	7.60	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-2 pm
Duplin County Library	Emily Hill Library	Public	106 Park Cir	Faison	28341	Duplin	http://www.youseemore.com/duplin/default.asp	(910) 267-0601	Laura Caudill Jones	Laura Caudill Jones	340	0.42	Mon: 2 pm-5:45 pm  Wed: 2 pm-5:45 pm  Thu: 2 pm-5:45 pm  Fri: 2 pm-5:45 pm
Duplin County Library	Phillip Leff Memorial Library	Public	807 E Broad St	Beulaville	28518	Duplin	http://www.youseemore.com/duplin/default.asp	(910) 298-4677	Laura Caudill Jones	Laura Caudill Jones	"2,929"	0.80	Mon: 10 am-12:30 pm; 2 pm-5:45 pm  Tue: 10 am-12:30 pm; 2 pm-5:45 pm  Thu: 10 am-12:30 pm; 2 pm-5:45 pm  Fri: 10 am-12:30 pm; 2 pm-5:45 pm 
Duplin County Library	Rose Hill Library	Public	113 S Walnut St	Rose Hill	28458	Duplin	http://www.youseemore.com/duplin/default.asp	(910) 289-2490	Laura Caudill Jones	Laura Caudill Jones	"3,493"	0.60	Tue: 9 am-1 pm; 2 pm-5:45 pm  Wed: 2 pm-5:45 pm  Thu: 2 pm-5:45 pm  Fri: 10 am-12:30; 2 pm-5:45 pm
Duplin County Library	Warsaw-Kornegay Public Library	Public	117 E College St	Warsaw	28398	Duplin	http://www.youseemore.com/duplin/default.asp	(910) 293-4664	Laura Caudill Jones	Laura Caudill Jones	"1,200"	0.60	Mon: 9 am-12:45 pm; 2 pm-5:45 pm  Tue: 2 pm-5:45 pm  Thu: 2 pm-5:45 pm  Fri: 9 am-12:45 pm; 2 pm-5:45 pm
Durham County Library	East Regional Branch Library	Public	211 Lick Creek Ln	Durham	27703	Durham	https://durhamcountylibrary.org/	(919) 560-0203	Tammy Baggett	Lauren Doll	"25,000"	12.48	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-6 pm  Thu: 9 am-9 pm  Fri: 9:30 am-6 pm  Sat: 9:30 am-6 pm  Sun: 2 pm-6 pm
Durham County Library	South Regional Library	Public	4505 S Alston Ave	Durham	27713	Durham	https://durhamcountylibrary.org/	(919) 560-7409	Tammy Baggett	Che Anderson	"27,300"	15.97	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-6 pm  Thu: 9 am-9 pm  Fri: 9:30 am-6 pm  Sat: 9:30 am-6 pm  Sun: 2 pm-6 pm
Durham County Library	Bragtown Branch Library	Public	3200 Dearborn Dr	Durham	27704	Durham	https://durhamcountylibrary.org/	(919) 560-0210	Tammy Baggett	DeLois Cue	"1,000"	2.03	Mon: 1 pm-5 pm  Tue: 1 pm-5 pm  Wed: 1 pm-5 pm  Thu: 1 pm-5 pm  Fri: 1 pm-5 pm 
Durham County Library	Durham County Library (Main)	Public	300 N Roxboro St	Durham	27701	Durham	https://durhamcountylibrary.org/	(919) 560-0100	Tammy Baggett	Faith Burns	"66,408"	52.12	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-6 pm  Thu: 9 am-9 pm  Fri: 2 pm-6 pm  Sat: 9:30 am-6 pm  Sun: 2 pm-6 pm
