Place Name	addr1	addr_sup	city	zip	lat	long	Site Type
Fuquay -Varina Municipal Building Driver License Office	131 South Fuquay Avenue		Fuquay-Varina	27526	35.583326	-78.797907	DMV
Freeman Center Driver License Office	1387 SE Maynard Road		Cary	27511	35.788471	-78.76386	DMV
Wendell Driver License Office	2851 WENDELL BLVD		WENDELL	27591-6904	35.794178	-78.38022	DMV
Mobile Unit at the Renaissance Center	405 BROOKS ST		WAKE FOREST	27587-2930	35.9741886	-78.5087581	DMV
Mobile Unit at the Old N.C. National Guard Armory	501 US 158 Business East		WARRENTON	27589	36.4039167	-78.1615606	DMV
Mobile Unit at the Pettigrew Library	201 E. Third St.		Plymouth	27962	35.86595	-76.746464	DMV
Goldsboro Driver License Office	701 West Grantham Street		Goldsboro	27530	35.3985879	-78.001919	DMV
Old Steele Library Building Driver License Office	110 North Chestnut Street		Mount Olive	28365	35.196581	-78.067312	DMV
Wilkesboro Driver License Office	1230 School Street		Wilkesboro	28697	36.136461	-81.177123	DMV
Wilson Driver License Office	1822 Goldsboro Street SW		Wilson	27893	35.7159043	-77.9237774	DMV
Yadkinville Driver License Office	225 Ash Street		Yadkinville	27055	36.1168961	-80.6571136	DMV
Burnsville Driver License Office	116 North Main Street		Burnsville	28714	35.918608	-82.299735	DMV
Asheville District Office	50 S. French Broad Avenue		Asheville	28801	35.591647	-82.558611	Dept of Services for the Blind
Charlotte District Office	5501 Executive Center Drive	Suite 102	Charlotte	28212	35.2027999	-80.7435275	Dept of Services for the Blind
Fayetteville District Office	2950 Village Drive	Suite 201	Fayetteville	28304	35.0319513	-78.9277192	Dept of Services for the Blind
Greenville District Office	404 St. Andrews Drive		Greenville	27834	35.5754267	-77.3949726	Dept of Services for the Blind
Raleigh District Office	307 Ashe Avenue		Raleigh	27606	35.7801611	-78.6606923	Dept of Services for the Blind
Wilmington District Office	3240 Burnt Mill Drive	Suite 7	Wilmington	28403	34.2310236	-77.9013451	Dept of Services for the Blind
Winston-Salem District Office	4265 Brownsboro Road	Suite 100	Winston-Salem	27106	36.1488594	-80.272503	Dept of Services for the Blind
Camden County DSS	117 North Highway 343		Camden	27921	36.329205	-76.174975	Dept of Social Services
Cherokee County DSS	4800 W US Highway 64		Murphy	28906	35.065593	-83.9657742	Dept of Social Services
Guilford County DSS	1203 Maple Street		Greensboro	27402-3388	36.0913674	-79.77811679999999	Dept of Social Services
Halifax County DSS	4421 Hwy 301		Halifax	27839	36.371488	-77.59112979999999	Dept of Social Services
Hyde County DSS	35015 US Hwy 264		Engelhard	27824	35.508517	-75.99947209999999	Dept of Social Services
Madison County DSS	5707 U.S. Highway 25/70	Unit D	Marshall	28753	35.812834	-82.673484	Dept of Social Services
Onslow County DSS	1915 Onslow Drive Extension		Jacksonville	28541	34.7520933	-77.4077324	Dept of Social Services
Person County DSS	355 S. Madison Blvd	B	Roxboro	27573	36.3911691	-78.9905052	Dept of Social Services
Polk County DSS	231 Wolverine Trail		Mill Spring	28756	35.2932219	-82.17020939999999	Dept of Social Services
Rockingham County DSS	411 NC Hwy 65		Wentworth	27375	36.3920869	-79.750688	Dept of Social Services
Watauga County DSS	132 Poplar Grove Connector Road	Suite C	Boone	28607	36.220473	-81.691654	Dept of Social Services
Wayne County DSS	301 North Herman Street		Goldsboro	27530	35.3826313	-77.9833671	Dept of Social Services
Alamance County DSS	319 North Graham Hopedale Road	Suite C	Burlington	27217	36.1004032	-79.4053706	Dept of Social Services
Alexander County DSS	604 7th Street, SW		Taylorsville	28681	35.9139053	-81.1862489	Dept of Social Services
Alleghany County DSS	182 Doctor Street		Sparta	28675	36.5087672	-81.1156211	Dept of Social Services
Anson County DSS	118 North Washington Street		Wadesboro	28170	34.966753	-80.0745768	Dept of Social Services
Ashe County DSS	150 Government Circle	Suite 1400	Jefferson	28640	36.4183604	-81.459054	Dept of Social Services
Avery County DSS	175 Linville Street		Newland	28657	36.0851584	-81.9268372	Dept of Social Services
Beaufort County DSS	632 West 5th Street		Washington	27889	35.551023	-77.05923469999999	Dept of Social Services
Bertie County DSS	1006 Wayland Street		Windsor	27983	36.001468	-76.9599099	Dept of Social Services
Bladen County DSS	208 McKay Street		Elizabethtown	28337	34.6207451	-78.6071101	Dept of Social Services
Brunswick County DSS	60 Government Drive, NE		Bolivia	28422-0219	34.0562309	-78.1643704	Dept of Social Services
Buncombe County DSS	40 Coxe Avenue		Asheville	28802	35.5930613	-82.5546811	Dept of Social Services
Burke County DSS	700 East Parker Road		Morganton	28680-0549	35.7261084	-81.649227	Dept of Social Services
Cabarrus County DSS	1303 South Cannon Boulevard		Kannapolis	28083	35.4766418	-80.6089276	Dept of Social Services
Caldwell County DSS	2345 Morganton Blvd SW	Suite A	Lenoir	28645	35.891948	-81.57241030000002	Dept of Social Services
Carteret County DSS	210 Craven Street		Beaufort	28516	34.718374	-76.6624398	Dept of Social Services
Caswell County DSS	175 East Church Street		Yanceyville	27379	36.4053247	-79.3352186	Dept of Social Services
Catawba County DSS	3030 11th Avenue Drive, SE		Hickory	28602	35.711657	-81.272435	Dept of Social Services
Chatham County DSS	102 Camp Drive		Pittsboro	27312	35.7235957	-79.1852293	Dept of Social Services
Chowan County DSS	100 W. Freemason Circle		Edenton	27932	36.0654778	-76.6129751	Dept of Social Services
Clay County DSS	119 Courthouse Dr.		Hayesville	28904	35.0386893	-83.82852919999999	Dept of Social Services
Cleveland County DSS	130 South Post Road		Shelby	28150	35.2818528	-81.4931989	Dept of Social Services
Columbus County DSS	40 Government Complex Road		Whiteville	28472-0397	34.3550233	-78.70674199999999	Dept of Social Services
Craven County DSS	2818 Neuse Boulevard		New Bern	28561-2039	35.1234183	-77.0820784	Dept of Social Services
Cumberland County DSS	1225 Ramsey Street		Fayetteville	28301	35.0716496	-78.88231669999999	Dept of Social Services
Currituck County DSS	153 Courthouse Rd.	Suite 400	Currituck	27929	36.4499012	-76.01632	Dept of Social Services
Dare County DSS	107 Exeter Street		Manteo	27954	35.9039093	-75.6748549	Dept of Social Services
Davidson County DSS	913 Greensboro Street		Lexington	27293	35.8323423	-80.2437631	Dept of Social Services
Davie County DSS	228 Hospital St		Mocksville	27028	35.8988715	-80.57101039999999	Dept of Social Services
Duplin County DSS	423 North Main Street		Kenansville	28349	34.9662028	-77.960822	Dept of Social Services
Durham County DSS	414 East Main Street		Durham	27702-0810	35.9918143	-78.8963752	Dept of Social Services
Edgecombe County DSS, Tarboro Office	122 E. St. James Street		Tarboro	27886	35.897954	-77.5339515	Dept of Social Services
Edgecombe County DSS, Rocky Mount Office	301 South. Fairview Road		Rocky Mount	27801	35.9261968	-77.7737269	Dept of Social Services
Forsyth County DSS	741 North Highland Avenue		Winston-Salem	27101	36.10330160000001	-80.23195710000002	Dept of Social Services
Franklin County DSS	107 Industrial Drive		Louisburg	27549	36.1044689	-78.2894343	Dept of Social Services
Gaston County DSS	330 Dr. Martin Luther King Jr. Way		Gastonia	28052	35.2660513	-81.1813384	Dept of Social Services
Gates County DSS	200 Court Street		Gatesville	27938	36.4034817	-76.75327159999999	Dept of Social Services
Graham County DSS	196 Knight Street		Robbinsville	28771	35.3282331	-83.8098007	Dept of Social Services
Granville County DSS	410 West Spring Street		Oxford	27565	36.3081999	-78.5936292	Dept of Social Services
Greene County DSS	227 Kingold Boulevard	Suite A	Snow Hill	28580	35.452512	-77.6839439	Dept of Social Services
Harnett County DSS	311 Cornelius Harnett Boulevard		Lillington	27546	35.420798	-78.811117	Dept of Social Services
Haywood County DSS	157 Paragon Parkway	Suite 300	Clyde	28721	35.526147	-82.95655099999999	Dept of Social Services
Henderson County DSS	1200 Spartanburg Highway	Suite 300	Hendersonville	28792	35.3030812	-82.44091449999999	Dept of Social Services
Hertford County DSS	704 King Street		Winton	27986	36.3967142	-76.9327067	Dept of Social Services
Hoke County DSS	314 S. Magnolia Street		Raeford	28376	34.9750567	-79.2274044	Dept of Social Services
Iredell County DSS	549 Eastside Drive		Statesville	28625	35.7829215	-80.85827619999999	Dept of Social Services
Jackson County DSS	15 Griffin Street		Sylva	28779	35.3535358	-83.20772769999999	Dept of Social Services
Johnston County DSS	714 North Street		Smithfield	27577	35.5134021	-78.3369979	Dept of Social Services
Jones County DSS	118 Highway 58 North		Trenton	28585	35.0636582	-77.3544357	Dept of Social Services
Lee County DSS	530 Carthage Street		Sanford	27330	35.4777628	-79.1853909	Dept of Social Services
Lenoir County DSS	130 West King Street		Kinston	28502-0006	35.2585153	-77.58261689999999	Dept of Social Services
Lincoln County DSS	1136 East Main Street		Lincolnton	28093-0130	35.4747364	-81.2414713	Dept of Social Services
Macon County DSS, Lakeside Government Complex	1832 Lakeside Drive		Franklin	28734	35.1967941	-83.3715509	Dept of Social Services
Martin County DSS	305 East Main Street		Williamston	27892	35.8565129	-77.05185900000001	Dept of Social Services
McDowell County DSS	145 East Court Street		Marion	28752	35.6855984	-82.0069067	Dept of Social Services
Mecklenburg County DSS	301 Billingsley Road		Charlotte	28222	35.1916135	-80.8065471	Dept of Social Services
Mitchell County DSS	347 Long View Drive		Bakersville	28705-0365	36.016976	-82.162452	Dept of Social Services
Montgomery County DSS	102 E. Spring Street		Troy	27371	35.35723730000001	-79.8932933	Dept of Social Services
Moore County DSS	1036 Carriage Oaks Drive		Carthage	28327	35.3396697	-79.4022482	Dept of Social Services
Nash County DSS	120 West Washington Street		Nashville	27856	35.97541020000001	-77.96663749999999	Dept of Social Services
New Hanover County DSS	1650 Greenfield Street		Wilmington	28402	34.2180799	-77.92600929999999	Dept of Social Services
Northampton County DSS	9467 NC 305 Highway		Jackson	27845	36.411274	-77.436877	Dept of Social Services
Orange County DSS	113 Mayo St.		Hillsborough	27278	36.0601639	-79.1063264	Dept of Social Services
Pamlico County Human Services Center	828 Alliance Main St.		Bayboro	28515	35.1445993	-76.8102629	Dept of Social Services
Pasquotank County DSS	709 Roanoke Avenue		Elizabeth City	27909	36.2879081	-76.2284485	Dept of Social Services
Pender County DSS	810 South Walker Street		Burgaw	28425	34.5445091	-77.9142906	Dept of Social Services
Perquimans County DSS	103 Charles Street		Hertford	27944	36.191854	-76.479902	Dept of Social Services
Pitt County DSS	1717 West Fifth Street		Greenville	27834	35.6112291	-77.3982431	Dept of Social Services
Randolph County DSS	1512 North Fayetteville Street		Asheboro	27204-3239	35.7364761	-79.8070621	Dept of Social Services
Richmond County DSS	125 Caroline Street		Rockingham	28380	34.939407	-79.77754999999999	Dept of Social Services
Robeson County DSS	120 Glen Cowan Road		Lumberton	28360	34.6287648	-79.0661411	Dept of Social Services
Rowan County DSS	1236 West Innes Street		Salisbury	28144	35.6785349	-80.480502	Dept of Social Services
Rutherford County DSS	389 Fairground Road		Spindale	28160	35.3461559	-81.910423	Dept of Social Services
Sampson County DSS	360 County Complex Rd.	Suite 100	Clinton	28328	34.97941	-78.295298	Dept of Social Services
Scotland County DSS	1405 West Boulevard		Laurinburg	28353	34.7591214	-79.4910404	Dept of Social Services
Stanly County DSS	1000 North First Street	Suite 2	Albemarle	28001	35.3658452	-80.1976897	Dept of Social Services
Stokes County DSS	1010 Highway 8 & 89 North		Danbury	27016	36.4132985	-80.21730509999999	Dept of Social Services
Surry County DSS	118 Hamby Road		Dobson	27017	36.393679	-80.7079679	Dept of Social Services
Swain County DSS	80 Academy St.		Bryson City	28713	35.4257754	-83.4454717	Dept of Social Services
Transylvania County DSS	106 E. Morgan St.		Brevard	28712	35.2314744	-82.73370659999999	Dept of Social Services
Tyrrell County DSS	102 N. Road Street		Columbia	27925	35.9183282	-76.2486814	Dept of Social Services
Union County DSS	2330 Concord Avenue		Monroe	28110	35.0113594	-80.5460028	Dept of Social Services
Vance County DSS	350 Ruin Creek Road		Henderson	27536	36.3338682	-78.4475995	Dept of Social Services
Wake County Human Services	220 Swinburne Road		Raleigh	27620-6833	35.77922909999999	-78.5855109	Dept of Social Services
Warren County DSS	307 North Main Street		Warrenton	27589	36.40231259999999	-78.1539798	Dept of Social Services
Washington County DSS	209 East Main Street		Plymouth	27962	35.8662247	-76.747269	Dept of Social Services
Wilkes County DSS	304 College Street		Wilkesboro	28697	36.144107	-81.1569406	Dept of Social Services
Wilson County DSS	100 N.E Gold Street		Wilson	27894-0459	35.7300015	-77.9059431	Dept of Social Services
Yadkin County DSS	250 Willow Street		Yadkinville	27055	36.1327489	-80.6575178	Dept of Social Services
Yancey County DSS	320 Pensacola Road		Burnsville	28714	35.910098	-82.291302	Dept of Social Services
Eastern Alamance High	4040 Mebane Rogers Rd		Mebane	27302	36.1135494	-79.30227699999999	High School
Western Alamance High	1731 N NC 87		Elon	27244	36.1530606	-79.49759569999999	High School
West Bladen High	1600 NC Hwy 410		Bladenboro	28320	34.6384911	-78.7413234	High School
South Brunswick High	280 Cougar Road	(in Boiling Spring Lakes)	Southport	28461	34.0111568	-78.0430647	High School
Community High School	235 Old US 70		Swannanoa	28778	35.6027359	-82.4042071	High School
Nesbitt Discovery Academy	175 Bingham Rd	Ste 10	Asheville	28806	35.6068121	-82.5839146	High School
Tri-County Early College High	4650 E US 64 Alt.		Murphy	28906	35.0732165	-83.9667778	High School
Crest High	800 Old Boiling Springs Road		Shelby	28152	35.274696	-81.613426	High School
Cape Hatteras Secondary School	48576 Highway 12		Buxton	27920	35.2656064	-75.55224	High School
Central Davidson High	2747 NC Hwy 47		Lexington	27292	35.7397635	-80.2218055	High School
North Davidson High	7227 Old US Hwy 52		Lexington	27295	35.9248677	-80.2489835	High School
South Davidson High	14956 South NC Hwy 109		Denton	27239	35.672924	-80.104271	High School
East Duplin High	394 North NC Highway 111		Beulaville	28518	34.9408843	-77.78319019999999	High School
James Kenan High	1241 NC 24/50		Warsaw	28398	34.9844818	-78.04320009999999	High School
Research Triangle High School	3106 East NC Highway 54		Durham	27709	35.8950459	-78.8744036	High School
North Edgecombe High	7589 NC 33-NW		Tarboro	27886	35.989652	-77.5835479	High School
Early College of Forsyth Co	2100 Silas Creek Pkwy		Winston Salem	27103	36.0694251	-80.2727328	High School
West Forsyth High	1735 Lewisville-Clemmons Rd		Clemmons	27012	36.063327	-80.38475199999999	High School
Franklin County Early College	8150 NC Highway 56		Louisburg	27549	36.0868429	-78.32856699999999	High School
Greene Early College High	818 NC Highway 91		Snow Hill	28580	35.4759141	-77.6705375	High School
Gateway Education Center	3205 East Wendover Avenue		Greensboro	27405	36.088383	-79.737899	High School
Northwest Halifax Collegiate and Technic	8492 Hwy NC 48		Littleton	27850	36.3866622	-77.7858296	High School
Southeast Halifax Collegiate Prep Academ	16683 Hwy 125		Halifax	27839	36.2193662	-77.5507677	High School
Mattamuskeet Early College High	20392 Hwy US 264		Swan Quarter	27885	35.441462	-76.218858	High School
Langtree Charter Academy	154 Foundation Ct		Mooresville	28117	35.5411787	-80.8651548	High School
East Lincoln High	6471 Hwy 73		Denver	28037	35.4551672	-81.0247213	High School
Macon Early College High School	77 Siler Farm Road		Franklin	28734	35.1582638	-83.38347739999999	High School
Madison High School	5740 US Hwy 25-70		Marshall	28753	35.8149074	-82.6729452	High School
South Creek Middle/High	21077 NC Hwy 903		Robersonville	27871	35.856241	-77.24359299999999	High School
Cato Middle College High	8120 Grier Rd	Suite 171-B	Charlotte	28215	35.265033	-80.7310996	High School
Military and Global Leadership Academy	1411 Hawthorne Lane	Ste A	Charlotte	28205	35.22867240000001	-80.8146806	High School
Community School of Davidson	404 Armour Street		Davidson	28036	35.5075365	-80.8536285	High School
Montgomery Learning Academy	310 S Main St		Troy	27371	35.3565285	-79.89378099999999	High School
Eugene Ashley High	555 Halyburton Memorial Parkway		Wilmington	28412	34.1005137	-77.9110479	High School
Heide Trask High	14328 NC Hwy 210		Rocky Point	28457	34.4377804	-77.8925501	High School
Eastern Randolph High	390 Eastern Randolph Rd		Ramseur	27316	35.7560968	-79.6193504	High School
Wheatmore High	3678 Finch Farm Rd		Trinity	27370	35.8292659	-80.0068526	High School
Dalton McMichael High	6845 Hwy 135		Mayodan	27027	36.4172668	-79.9426166	High School
Scotland Early College High	1700 Dogwood Mile St		Laurinburg	28352	34.7447182	-79.47977259999999	High School
Gray Stone Day	49464 Merner Terrace		Misenheimer	28109	35.4859575	-80.2801643	High School
Enloe High	128 Clarendon Crescent		Raleigh	27610	35.784247	-78.6033379	High School
Wayne School of Engineering	700 N Herman St		Goldsboro	27530	35.38663380000001	-77.9792271	High School
East Wilkes High School	13315 Elkin Hwy (NC Hwy 268)		Ronda	28670	36.2269797	-80.9274269	High School
Dobbs/Lenoir Youth Development Center	3055 Dobbs Farm Rd		Kinston	28504	35.309202	-77.63117	High School
ABSS Early College at ACC	1247 Jimmie Kerr Road		Graham	27253	36.0667853	-79.3575561	High School
Career and Technical Education Center	2550 Buckingham Road		Burlington	27217	36.0931509	-79.3846348	High School
Graham High	903 Trollinger Road		Graham	27253	36.0754477	-79.3830719	High School
Hugh M Cummings High	2200 N Mebane Street		Burlington	27217	36.0886278	-79.396541	High School
Ray Street Academy	609 Ray Street		Graham	27253	36.0614951	-79.39566599999999	High School
Southern Alamance High	631 Southern High Road		Graham	27253	36.006858	-79.40889	High School
Walter M Williams High	1307 S Church Street		Burlington	27215	36.0884929	-79.45433109999999	High School
River Mill Academy	235 Cheeks Lane		Graham	27253	36.043704	-79.39346710000001	High School
Clover Garden	2454 Altamahaw Union Ridge Road		Burlington	27217	36.186776	-79.471373	High School
The Hawbridge School	1735 Saxapahaw Bethlehem Church Rd		Saxapahaw	27340	35.9464853	-79.3183385	High School
Alexander Central High	223 School Drive		Taylorsville	28681	35.9167533	-81.1893043	High School
Alleghany High	404 Trojan Avenue		Sparta	28675	36.513866	-81.1228223	High School
Anson Co. Early College High	177 Ledbetter Street		Polkton	28135	34.9987054	-80.2113767	High School
Anson Academy	118 N. Ashe Street		Wadesboro	28170	34.9609372	-80.0788572	High School
Anson High School	96 Anson High School Road		Wadesboro	28170	34.9768643	-80.10373919999999	High School
Ashe County High	184 Campus Drive		West Jefferson	28694	36.392264	-81.47811700000001	High School
Avery County High	401 Avery County High School Road		Newland	28657	36.0692387	-81.91897	High School
Blue Ridge Academy	76 Old Montezuma Rd		Newland	28657	36.0678483	-81.9163373	High School
Avery High STEM Academy	401 Avery County High School Rd		Newland	28657	36.0692387	-81.91897	High School
Grandfather Academy	64 Grandfather Home Drive		Banner Elk	28604	36.1521736	-81.8783765	High School
Marjorie Williams Academy	129 Allen Circle		Crossnore	28616	36.024783	-81.92845799999999	High School
B C Ed Tech Center	820 North Bridge St		Washington	27899	35.5523349	-77.05622149999999	High School
Beaufort Co Early College High	5337 Hwy 264 East	Building 10	Washington	27889	35.5337105	-76.96526779999999	High School
Northside High	7868 Free Union Church Road		Pinetown	27865	35.5365774	-76.72998270000001	High School
Southside High	5700 Hwy 33 East		Chocowinity	27817	35.4461925	-77.0568718	High School
Washington High	400 Slatestone Road		Washington	27889	35.5573276	-77.0151413	High School
Washington Montessori	2330 Old Bath Hwy		Washington	27889	35.5398036	-76.97956959999999	High School
Bertie Early College High	819 Governors Road		Windsor	27983	36.03430830000001	-77.0134803	High School
Bertie High	716 US Hwy 13 North		Windsor	27983	36.0503998	-76.9724658	High School
East Bladen High	5600 NC Hwy 87 East		Elizabethtown	28337	34.580132	-78.53058899999999	High School
Paul R Brown Leadership Academy	1300 Martin L King Jr Dr		Elizabethtown	28337	34.6212429	-78.6176359	High School
Brunswick County Early College	50 College Road NE		Bolivia	28422	34.038474	-78.22901279999999	High School
The COAST	1109 Old Ocean Highway		Bolivia	28422	34.0378753	-78.2388036	High School
North Brunswick High	114 Scorpion Drive		Leland	28451	34.240696	-78.023383	High School
West Brunswick High	550 Whiteville Road NW		Shallotte	28470	33.9811785	-78.40993519999999	High School
Reynolds High	1 Rocket Drive		Asheville	28803	35.545811	-82.47724099999999	High School
Early College	340 Victoria Road		Asheville	28801	35.574038	-82.554934	High School
Middle College	340 Victoria Road		Asheville	28801	35.574038	-82.554934	High School
Owen High	99 Lake Eden Road		Black Mountain	28711	35.6189247	-82.3734121	High School
Erwin High	60 Lees Creek Road		Asheville	28806	35.6193969	-82.6263057	High School
Enka High	475 Enka Lake Road		Candler	28715	35.529946	-82.66591	High School
North Buncombe High	890 Clarks Chapel Road		Weaverville	28787	35.739801	-82.557616	High School
Roberson High	250 Overlook Road		Asheville	28803	35.487034	-82.5352348	High School
Asheville High	419 McDowell Street		Asheville	28803	35.57262	-82.5517436	High School
School of Inquiry and Life Sciences	419 McDowell Street		Asheville	28803	35.57262	-82.5517436	High School
IC Imagine	1000 Brevard Road	Suite 175	Asheville	28806	35.5250687	-82.6056569	High School
The Franklin School of Innovation	21 Innovation Dr		Asheville	28806	35.5412452	-82.6301728	High School
Hallyburton Academy	205 South Main Street		Drexel	28619	35.7559268	-81.6044048	High School
Burke Middle College	1001 Burkemont Ave		Morganton	28655	35.7224938	-81.69335260000001	High School
East Burke High	3695 East Burke Boulevard		Connelly Springs	28612	35.719945	-81.48261099999999	High School
Freedom High	511 Independence Boulevard		Morganton	28655	35.7446994	-81.7176362	High School
Jimmy C Draughn High School	709 Lovelady Road NE		Valdese	28690	35.766899	-81.543868	High School
North Liberty	523 Enola Road		Morganton	28655	35.7096415	-81.6716409	High School
Robert L. Patton High School	701 Enola Road		Morganton	28655	35.701655	-81.669386	High School
Cox Mill High School	1355 Cox Mill Rd		Concord	28027	35.395328	-80.726908	High School
Central Cabarrus High	505 Hwy 49 S		Concord	28025	35.362003	-80.582118	High School
Concord High	481 Burrage Road NE		Concord	28025	35.4328659	-80.5813117	High School
Jay M Robinson High	300 Pitts School Road SW		Concord	28027	35.3625802	-80.6616217	High School
Cabarrus Co Opportunity School	120 Marsh Avenue NW		Concord	28025	35.412021	-80.59011699999999	High School
Mount Pleasant High	700 Walker Road		Mount Pleasant	28124	35.40764480000001	-80.4821312	High School
Northwest Cabarrus High	5130 NW Cabarrus Drive		Concord	28027	35.4509811	-80.6624834	High School
Hickory Ridge High	7321 Raging Ridge Road		Harrisburg	28075	35.307899	-80.6348308	High School
Performance Learning Center	4521 Weddington Road		Concord	28027	35.39869950000001	-80.6522615	High School
Cabarrus-Kannapolis Early Coll	1531 Trinity Church Rd		Concord	28027	35.4375622	-80.659584	High School
A L Brown High	415 E 1st Street		Kannapolis	28083	35.4959688	-80.61865809999999	High School
Carolina International School	9545 Poplar Tent Road		Concord	28027	35.4093568	-80.7366426	High School
Cabarrus Charter Academy	355 Poplar Crossing Dr NW		Concord	28027	35.4087319	-80.668976	High School
Caldwell Career Cen Mid. Coll.	2857 Hickory Boulevard		Hudson	28638	35.8555791	-81.4851267	High School
Gateway School	1889 Dudley Shoals Road		Granite Falls	28630	35.8644054	-81.36846539999999	High School
Caldwell Early College	2859 Hickory Blvd SW		Hudson	28638	35.8546639	-81.48268139999999	High School
Hibriten High	1350 Panther Trail SE		Lenoir	28645	35.9257745	-81.4944495	High School
South Caldwell High	7035 Spartan Drive		Hudson	28638	35.82044	-81.452129	High School
West Caldwell High	300 W Caldwell Drive		Lenoir	28645	35.8868033	-81.5917961	High School
Camden County High	103 US 158 W		Camden	27921	36.32806	-76.1718451	High School
Camden Early College High	103 US Highway 158 West	A	Camden	27921	36.32806	-76.1718451	High School
Bridges School	140 Vashti Dr		Morehead City	28557	34.7382318	-76.7904786	High School
East Carteret High	3263 Hwy 70 E		Beaufort	28516	34.7815929	-76.62610440000002	High School
Croatan High	1 Cougar Lane		Newport	28570	34.7161474	-76.9504094	High School
West Carteret High	4700 Country Club Road		Morehead City	28557	34.7383291	-76.7866286	High School
Bartlett Yancey High	466 Main Street E		Yanceyville	27379	36.4037802	-79.3270991	High School
Bandys High	5040 E Bandys Road		Catawba	28609	35.6452586	-81.0839405	High School
Bunker Hill High	4675 Oxford School Road		Claremont	28610	35.7540054	-81.119349	High School
Catawba Rosenwald Education Center	403 6th Ave SW		Catawba	28609	35.702671	-81.075758	High School
Challenger Early College High	2550 Hwy 70 SE		Hickory	28602	35.6998273	-81.28792709999999	High School
Fred T Foard High	3407 Plateau Road		Newton	28658	35.6175845	-81.3709299	High School
Maiden High	600 West Main Street		Maiden	28650	35.5798238	-81.22417229999999	High School
Saint Stephens High	3205 34th Street Drive NE		Hickory	28601	35.774616	-81.270472	High School
Hickory Career Arts Magnet High School	409 8th Avenue NE		Hickory	28601	35.743252	-81.33109879999999	High School
Hickory High	1234 3rd Street NE		Hickory	28601	35.750319	-81.330996	High School
Conover Special Education	108 7th Street Place SW		Conover	28613	35.701191	-81.222171	High School
Newton-Conover High	338 W 15th Street		Newton	28658	35.67907100000001	-81.22547399999999	High School
Discovery High School	301 West 18th St		Newton	28658	35.6798213	-81.2223326	High School
SAGE Academy	501 Martin L King Jr Blvd		Siler City	27344	35.7313745	-79.4606651	High School
Chatham Central High	14950 NC Hwy 902 W		Bear Creek	27207	35.6139426	-79.38993359999999	High School
Jordan Matthews High	910 East Cardinal Street		Siler City	27344	35.7233728	-79.4511385	High School
Northwood High	310 Northwood High School Road		Pittsboro	27312	35.757579	-79.175978	High School
Chatham Charter	2200 Hamp Stone Rd		Siler City	27344	35.742891	-79.4809351	High School
Woods Charter	160 Woodland Grove Ln		Chapel Hill	27516	35.8147983	-79.10991659999999	High School
Andrews High	50 High School Drive		Andrews	28901	35.196091	-83.82432399999999	High School
Hiwassee Dam High	267 Blue Eagle Circle		Murphy	28906	35.1035754	-84.2233586	High School
The Oaks Academy	2230 Airport Road		Marble	28905	35.178443	-83.9205829	High School
Murphy High	234 High School Circle		Murphy	28906	35.100358	-84.01636	High School
Cherokee High	200 Ravensford Drive		Cherokee	28719	35.5124355	-83.296937	High School
John A Holmes High	600 Woodard Street		Edenton	27932	36.06671	-76.604502	High School
Hayesville High	205 Yellow Jacket Drive		Hayesville	28904	35.0406817	-83.8153119	High School
Burns High	307 E Stagecoach Trail		Lawndale	28090	35.4193649	-81.5324944	High School
Cleveland ECHS	1800 E. Marion Street		Shelby	28152	35.2780759	-81.49000830000001	High School
Turning Point Academy	409 West Sumter Street		Shelby	28150	35.292995	-81.5453821	High School
Kings Mountain High	500 Phifer Road		Kings Mountain	28086	35.2331401	-81.3719418	High School
North Shelby	1701 Charles Road		Shelby	28152	35.2648927	-81.57117339999999	High School
Shelby High	230 E Dixon Boulevard		Shelby	28152	35.274073	-81.53691099999999	High School
East Columbus High	32 Gator Lane		Lake Waccamaw	28450	34.3359734	-78.5018429	High School
South Columbus High	40 Stallion Drive		Tabor City	28463	34.1730981	-78.81508029999999	High School
CCCA - Fair Bluff /Southeastern Campuses	4564 Chadbourn Hwy		Whiteville	28472	34.3318286	-78.7823042	High School
West Columbus High	7294 Andrew Jackson Hwy		Cerro Gordo	28430	34.328921	-78.92299899999999	High School
North Whiteville Academy	310 S Martin Luther King Jr Ave		Whiteville	28472	34.3274607	-78.7116551	High School
Whiteville High	413 N Lee Street		Whiteville	28472	34.335039	-78.707179	High School
Thomas Academy	206 Rube McCray Circle	B	Lake Waccamaw	28450	34.3202	-78.52453799999999	High School
Craven Early College High	800 College Court		New Bern	28562	35.1103856	-77.1022053	High School
Early College EAST High	104 Middle School Lane		Havelock	28532	34.8775731	-76.8971976	High School
Havelock High	101 Webb Boulevard		Havelock	28532	34.879907	-76.892972	High School
New Bern High	4200 Academic Drive		New Bern	28562	35.10040559999999	-77.1156166	High School
West Craven High	2600 Streets Ferry Road		Vanceboro	28586	35.2376529	-77.1383846	High School
Jack Britt High	7403 Rockfish Road		Fayetteville	28306	34.977416	-79.0113511	High School
Douglas Byrd High	1624 Ireland Drive		Fayetteville	28304	35.032099	-78.950225	High School
Cape Fear High	4762 Clinton Road		Fayetteville	28312	35.0343853	-78.7637348	High School
Cumberland International Early College	1200 Murchison Rd	J Knuckles Science Annex	Fayetteville	28301	35.0756898	-78.8925902	High School
